product_id,product_name,type,quantity,minimum_quantity,location,batch_number,default_unit_of_measure,Sellable
20001,Brighter Shine,Alternatives,50,0.0000,Woods Cross,None,ea,True
TEST-1,Brighter Shine TEST,Alternatives,50,0.0000,Woods Cross,None,ea,True
22000,Complete Sugar Blocker Spray,Alternatives,50,0.0000,Woods Cross,None,ea,True
100296,Batch of Anti Anxiety & Calming Superfood Powder,Bulk Powders,50,0.0000,Woods Cross,None,ea,False
100221,Batch of Good Greens Powder,Bulk Powders,50,0.0000,Woods Cross,None,kg,False
100295,Batch of Gut Greens ,Bulk Powders,50,0.0000,Woods Cross,None,ea,False
100294,Batch of Organic & Kosher Greens Superfood Powder,Bulk Powders,50,0.0000,Woods Cross,None,ea,False
100293,Batch of Weight Management Superfood Greens,Bulk Powders,50,0.0000,Woods Cross,None,ea,False
100329,Bulk powder - Brighter Shine,Bulk Powders,50,0.0000,Woods Cross,None,ea,False
110001,Bulk Powder - Gallbladder and Liver Complete,Bulk Powders - Liquid,50,0.0000,Woods Cross,None,kg,False
110000,Bulk Powder - Kidney Complete,Bulk Powders - Liquid,50,0.0000,Woods Cross,None,kg,False
110007,Bulk Powder - Prostate Complete,Bulk Powders - Liquid,50,0.0000,Woods Cross,None,kg,False
110004,Bulk Powder - Uric Acid and Arthritis Complete,Bulk Powders - Liquid,50,0.0000,Woods Cross,None,kg,False
110006,Bulk Powder - Urinary Tract Complete,Bulk Powders - Liquid,50,0.0000,Woods Cross,None,kg,False
15017,Biotin Vitamin B7 and Coenzyme R Supplement,Capsules ,50,0.0000,Woods Cross,None,ea,True
15035,Calcium & Magnesium Capsules,Capsules ,50,0.0000,Woods Cross,None,ea,True
15036,Calming Blend Capsules,Capsules ,50,0.0000,Woods Cross,None,ea,True
15033,D-ManFalsese and Cranberry Capsules,Capsules ,50,0.0000,Woods Cross,None,ea,True
15032,D-ManFalsese Capsules,Capsules ,50,0.0000,Woods Cross,None,ea,True
GBUTI30,Goodbye UTI 30 ct Cranberry Capsule,Capsules ,50,0.0000,Woods Cross,None,ea,True
GBUTI60,Goodbye UTI 60 ct Cranberry Capsule,Capsules ,50,0.0000,Woods Cross,None,ea,True
15010,Grape Seed Extract Capsules,Capsules ,50,0.0000,Woods Cross,None,ea,True
15034,Hibiscus Capsules,Capsules ,50,0.0000,Woods Cross,None,ea,True
15031,Inulin Capsules,Capsules ,50,0.0000,Woods Cross,None,ea,True
15022,Nattokinase Capsules,Capsules ,50,0.0000,Woods Cross,None,ea,True
15037,Olive Leaf Capsules,Capsules ,50,0.0000,Woods Cross,None,ea,True
15020,Organic Apple Cider Vinegar Capsules,Capsules ,50,0.0000,Woods Cross,None,ea,True
15041,Organic Artichoke Capsules,Capsules ,50,0.0000,Woods Cross,None,ea,True
15023,Organic Ashwagandha Capsules,Capsules ,50,0.0000,Woods Cross,None,ea,True
15019,Organic Beet Root Capsules,Capsules ,50,0.0000,Woods Cross,None,ea,True
15029,Organic Black Maca Root Capsules,Capsules ,50,0.0000,Woods Cross,None,ea,True
